"상가업소번호","상호명","지점명","상권업종대분류코드","상권업종대분류명","상권업종중분류코드","상권업종중분류명","상권업종소분류코드","상권업종소분류명","표준산업분류코드","표준산업분류명","시도코드","시도명","시군구코드","시군구명","행정동코드","행정동명","법정동코드","법정동명","지번코드","대지구분코드","대지구분명","지번본번지","지번부번지","지번주소","도로명코드","도로명","건물본번지","건물부번지","건물관리번호","건물명","도로명주소","구우편번호","신우편번호","동정보","층정보","호정보","경도","위도"
"MA0101202210A0084547","","I2","음식","I211","주점","I21101","일반 유흥 주점","I56211","일반 유흥 주점업","51","강원특별자치도","51170","동해시","51170520","송정동","5117010300","송정동","5117010300107470000","1","대지",747,,"강원특별자치도 동해시 송정동 747","511703221039","강원특별자치도 동해시 송정로",11,,"4217010300007470000000086","파크장","강원특별자치도 동해시 송정로 11","240806","25789","","지","",129.12752511744,37.4952646683955
"MA010120220805430903","엔젤","","I2","음식","I201","한식","I20101","백반/한정식","I55109","기타 일반 및 생활 숙박시설 운영업","51","강원특별자치도","51770","정선군","51770320","남면","5177032022","남면","5177032022103660001","1","대지",366,1,"강원특별자치도 정선군 남면 무릉리 366-1","517703229013","강원특별자치도 정선군 남면 민둥산로",175,13,"4277032022103660000008290","","강원특별자치도 정선군 남면 민둥산로 175-13","233837","26148","","","",128.792089259273,37.2597883256939
"MA010120220805430941","누베헤어","","S2","수리·개인","S207","이용·미용","S20701","미용실","S96112","두발 미용업","51","강원특별자치도","51110","춘천시","51110675","강남동","5111012500","삼천동","5111012500107960000","1","대지",796,,"강원특별자치도 춘천시 삼천동 796","511104454444","강원특별자치도 춘천시 스포츠타운길",460,,"4211012500100440010000008","춘천파크자이","강원특별자치도 춘천시 스포츠타운길 460","200200","24472","","3","",127.707653122232,37.8677439807363
"MA010120220805430946","공차","","I2","음식","I212","비알코올 ","I21201","카페","I56229","기타 비알코올 음료점업","51","강원특별자치도","51130","원주시","51130330","지정면","5113033023","지정면","5113033023113500001","1","대지",1350,1,"강원특별자치도 원주시 지정면 가곡리 1350-1","511303350530","강원특별자치도 원주시 지정면 신지정로",211,,"4213033023113500001000001","","강원특별자치도 원주시 지정면 신지정로 211","220821","26354","","","",127.872712624099,37.3741888742715
"MA010120220805431369","행운쉼터","","I1","숙박","I101","일반 숙박","I10103","펜션","I55104","민박업","51","강원특별자치도","51810","인제군","51810320","북면","5181032022","북면","5181032022108200005","1","대지",820,5,"강원특별자치도 인제군 북면 월학리 820-5","518103000121","강원특별자치도 인제군 북면 금강로",751,,"4281032022008200005013654","","강원특별자치도 인제군 북면 금강로 751","252826","24609","","","",128.207086453544,38.1718706016827
"MA010120220805431565","만월","","I2","음식","I211","주점","I21104","요리 주점","I56219","기타 주점업","51","강원특별자치도","51170","동해시","51170510","천곡동","5117010100","천곡동","5117010100110440006","1","대지",1044,6,"강원특별자치도 동해시 천곡동 1044-6","511703221045","강원특별자치도 동해시 한섬로",38,,"4217010100010440006012576","린나이중앙대리점","강원특별자치도 동해시 한섬로 38","240809","25772","","지","",129.107938384892,37.5197511421597
"MA010120220805431819","계곡사랑","","I1","숙박","I101","일반 숙박","I10103","펜션","I55109","기타 일반 및 생활 숙박시설 운영업","51","강원특별자치도","51810","인제군","51810250","인제읍","5181025030","인제읍","5181025030100460000","1","대지",46,,"강원특별자치도 인제군 인제읍 하추리 46","518103233023","강원특별자치도 인제군 인제읍 하추로",603,,"4281025030000460000007574","","강원특별자치도 인제군 인제읍 하추로 603","252902","24642","","","",128.312474583819,38.0354164151477
"MA010120220805432062","회오리감자점","","I2","음식","I210","기타 간이","I21099","그 외 기타 간이 음식점","I56199","간이 음식 포장 판매 전문점","51","강원특별자치도","51760","평창군","51760380","대관령면","5176038024","대관령면","5176038024100140111","1","대지",14,111,"강원특별자치도 평창군 대관령면 횡계리 14-111","517603000145","강원특별자치도 평창군 대관령면 경강로",5721,,"4276038024100140111031448","대관령휴게소","강원특별자치도 평창군 대관령면 경강로 5721","232954","25342","","","",128.754493607774,37.6851598848718
"MA010120220805432113","태능갈비","","I2","음식","I201","한식","I20107","돼지고기 구이/찜","I56113","한식 육류 요리 전문점","51","강원특별자치도","51810","인제군","51810320","북면","5181032021","북면","5181032021107310011","1","대지",731,11,"강원특별자치도 인제군 북면 원통리 731-11","518104499135","강원특별자치도 인제군 북면 원통로147번길",23,,"4281032021007310011011327","","강원특별자치도 인제군 북면 원통로147번길 23","252822","24612","","","",128.202533482991,38.122648572649
"MA010120220805432119","고은헤어","","S2","수리·개인","S207","이용·미용","S20701","미용실","S96112","두발 미용업","51","강원특별자치도","51130","원주시","51130660","무실동","5113011500","무실동","5113011500118310012","1","대지",1831,12,"강원특별자치도 원주시 무실동 1831-12","511304517925","강원특별자치도 원주시 봉바위길",23,,"4213011500118310012000001","","강원특별자치도 원주시 봉바위길 23","220150","26393","","","",127.932751331411,37.3317057970141
